startphrase,ending1,ending2,object,modified_1,modified_2,labels,qid
Her nail polish was as shiny as dull metal,Her nail polish was shiny,Her nail polish was dull,dull metal,Dull metal was shiny,Dull metal was dull,1,1243
The girl is as coordinated as the London symphony,The girl is very well coordinated.,The girl has no coordination at all.,the London symphony,The london symphony is very well coordinated.,The london symphony has no coordination at all.,0,1246
The girl is as coordinated as a baby giraffe,The girl is very well coordinated.,The girl has no coordination at all.,a baby giraffe,A baby giraffe is very well coordinated.,A baby giraffe has no coordination at all.,1,1246
The movie's star was as well-known as a primary color,The movie star was a household name.,The movie star was totally obsolete.,a primary color,A primary color was a household name.,A primary color was totally obsolete.,0,1248
The movie's star was as well-known as the color burlywood,The movie star was a household name.,The movie star was totally obsolete.,the color burlywood,The color burlywood was a household name.,The color burlywood was totally obsolete.,1,1248
The doctor is a bigfoot.,The doctor is sloppy.,The doctor is careful.,a bigfoot,A bigfoot is sloppy.,A bigfoot is careful.,0,1249
The doctor is an artist.,The doctor is sloppy.,The doctor is careful.,an artist,An artist is sloppy.,An artist is careful.,1,1249
The joke is like a ton of concrete.,The joke is terrible.,The joke is hilarious.,a ton of concrete,A ton of concrete is terrible.,A ton of concrete is hilarious.,0,1250
The joke is like a hit of laughing gas.,The joke is terrible.,The joke is hilarious.,a hit of laughing gas,A hit of laughing gas is terrible.,A hit of laughing gas is hilarious.,1,1250
The basketball player had the height of a giraffe,The player was tall,The player was short,a giraffe,A giraffe was tall,A giraffe was short,0,1256
The basketball player had the height of an ant,The player was tall,The player was short,an ant,An ant was tall,An ant was short,1,1256
Spilling secrets to a friend can be a walking disaster down the line,Spilling secrets to a friend is a bad idea,Spilling secrets to a friend is a way to bring people together to talk about things,a walking disaster down the line,A walking disaster down the line is a bad idea,A walking disaster down the line is a way to bring people together to talk about things,0,1261
Spilling secrets to a friend can be a a magnetic experience for the group,Spilling secrets to a friend is a bad idea,Spilling secrets to a friend is a way to bring people together to talk about things,a a magnetic experience for the group,A a magnetic experience for the group is a bad idea,A a magnetic experience for the group is a way to bring people together to talk about things,1,1261
Cats have the luck of The Irish,They have good fortune,Cats keep trying until they get the results they want,The Irish,The irish have good fortune,The irish keep trying until they get the results they want,0,1262
Cats have the luck of A compulsive gambler,They have good fortune,Cats keep trying until they get the results they want,A compulsive gambler,A compulsive gambler have good fortune,A compulsive gambler keep trying until they get the results they want,1,1262
The mattress was as comfortable as a pile of marshmallows,The mattress was very comfortable.,The mattress was uncomfortable.,a pile of marshmallows,A pile of marshmallows was very comfortable.,A pile of marshmallows was uncomfortable.,0,1263
The mattress was as comfortable as a pile of rocks,The mattress was very comfortable.,The mattress was uncomfortable.,a pile of rocks,A pile of rocks was very comfortable.,A pile of rocks was uncomfortable.,1,1263
The plane ride was as choppy as a knife,The plane ride was very choppy.,The plane ride was smooth.,a knife,A knife was very choppy.,A knife was smooth.,0,1265
The plane ride was as choppy as a freshwater lake,The plane ride was very choppy.,The plane ride was smooth.,a freshwater lake,A freshwater lake was very choppy.,A freshwater lake was smooth.,1,1265
He had the artistic talent of a Renaissance artist,He was artistically talented,He was artistically untalented,a Renaissance artist,A renaissance artist was artistically talented,A renaissance artist was artistically untalented,0,1271
He had the artistic talent of a finger-painting toddler,He was artistically talented,He was artistically untalented,a finger-painting toddler,A finger-painting toddler was artistically talented,A finger-painting toddler was artistically untalented,1,1271
"When it comes to running, I'm practically a cheetah.","When it comes to running, I'm very fast.","When it comes to running, I'm very slow.",practically a cheetah,"When it comes to running, practically a cheetah'm very fast.","When it comes to running, practically a cheetah'm very slow.",0,1280
"When it comes to running, I'm practically a turtle.","When it comes to running, I'm very fast.","When it comes to running, I'm very slow.",practically a turtle,"When it comes to running, practically a turtle'm very fast.","When it comes to running, practically a turtle'm very slow.",1,1280
The new product was iPhone like.,The new product was expensive.,The new product was economical.,iPhone like,Iphone like was expensive.,Iphone like was economical.,0,1281
The new product was LG like,The new product was expensive.,The new product was economical.,LG ,Lg was expensive.,Lg was economical.,1,1281
She's as gentle as a puppy.,She's very gentle.,She's vicious.,a puppy,A puppy's very gentle.,A puppy's vicious.,0,1286
She's as gentle as a shark.,She's very gentle.,She's vicious.,a shark,A shark's very gentle.,A shark's vicious.,1,1286
This food has the flavor of ambrosia,This food tastes good.,This food tastes bad.,ambrosia,Ambrosia tastes good.,Ambrosia tastes bad.,0,1289
This food has the flavor of garbage,This food tastes good.,This food tastes bad.,garbage,Garbage tastes good.,Garbage tastes bad.,1,1289
The chef's sauce has the taste of A liquid drained through soiled socks.,The chef's sauce was horrible.,The chef's sauce tasted great.,A liquid drained through soiled socks,A liquid drained through soiled socks was horrible.,A liquid drained through soiled socks tasted great.,0,1295
The chef's sauce has the taste of A wonderful condiment from heaven.,The chef's sauce was horrible.,The chef's sauce tasted great.,A wonderful condiment from heaven,A wonderful condiment from heaven was horrible.,A wonderful condiment from heaven tasted great.,1,1295
This food is as rich as a tech billionaire,This is food is very rich/flavorful,This food is not at all rich/has bad flavor,a tech billionaire,A tech billionaire is food is very rich/flavorful,A tech billionaire is not at all rich/has bad flavor,0,1300
This food is as rich as a a homeless bum,This is food is very rich/flavorful,This food is not at all rich/has bad flavor,a a homeless bum,A a homeless bum is food is very rich/flavorful,A a homeless bum is not at all rich/has bad flavor,1,1300
This wine is like the Sahara,The wine is very dry,The wine is very sweet,the Sahara,The sahara is very dry,The sahara is very sweet,0,1302
This wine is like candy,The wine is very dry,The wine is very sweet,candy,Candy is very dry,Candy is very sweet,1,1302
The casino has the integrity of a priest.,The casino is just and fair.,The casino is ruthless.,a priest,A priest is just and fair.,A priest is ruthless.,0,1304
The casino has the integrity of the devil.,The casino is just and fair.,The casino is ruthless.,the devil,The devil is just and fair.,The devil is ruthless.,1,1304
The gambler is a lumberjack.,The gambler is sloppy.,The gambler is careful.,a lumberjack,A lumberjack is sloppy.,A lumberjack is careful.,0,1305
The gambler is a ballerina.,The gambler is sloppy.,The gambler is careful.,a ballerina,A ballerina is sloppy.,A ballerina is careful.,1,1305
The diss track was an execution.,The diss track was brutal.,The diss track was weak.,an execution,An execution was brutal.,An execution was weak.,0,1312
The diss track was an a light tickle.,The diss track was brutal.,The diss track was weak.,an a light tickle,An a light tickle was brutal.,An a light tickle was weak.,1,1312
This couch has all the comfort of a nice cloud.,The couch was very comfortable.,The couch was not very comfortable.,a nice cloud,A nice cloud was very comfortable.,A nice cloud was not very comfortable.,0,1314
This couch has all the comfort of a pile of nails.,The couch was very comfortable.,The couch was not very comfortable.,a pile of nails,A pile of nails was very comfortable.,A pile of nails was not very comfortable.,1,1314
She smelled like a trash can.,She stunk.,She smelled nice.,a trash can,A trash can stunk.,A trash can smelled nice.,0,1331
She smelled like a rose.,She stunk.,She smelled nice.,a rose,A rose stunk.,A rose smelled nice.,1,1331
Our love is deep like the ocean,Our love is strong,Our love is weak,the ocean,The ocean is strong,The ocean is weak,0,1334
Our love is deep like a puddle,Our love is strong,Our love is weak,a puddle,A puddle is strong,A puddle is weak,1,1334
The knife is as shiny as a freshly polished piece of jewelry.,The knife is shiny.,The knife is not shiny.,a freshly polished piece of jewelry,A freshly polished piece of jewelry is shiny.,A freshly polished piece of jewelry is not shiny.,0,1337
The knife is as shiny as a rusty nail.,The knife is shiny.,The knife is not shiny.,a rusty nail,A rusty nail is shiny.,A rusty nail is not shiny.,1,1337
